source_ref_id,source_file,source_sheet,source_row,source_column_or_cell_range,source_field,raw_value,raw_status,orderable_rpo,ref_rpo,source_detail_raw
staging_variant_matrix_rows.csv:Standard Equipment 1:34:c0262677ed,staging_variant_matrix_rows.csv,Standard Equipment 1,34,stingray_2lt_c07,variant_matrix_row,"Steering wheel, leather-wrapped",S,,NK4,"Steering wheel, leather-wrapped"
staging_variant_matrix_rows.csv:Standard Equipment 1:35:08a2baeb3e,staging_variant_matrix_rows.csv,Standard Equipment 1,35,stingray_3lt_c07,variant_matrix_row,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center",S,,,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center"
staging_variant_matrix_rows.csv:Standard Equipment 1:35:3a0fb81cc9,staging_variant_matrix_rows.csv,Standard Equipment 1,35,stingray_1lt_c07,variant_matrix_row,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center",S,,,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center"
staging_variant_matrix_rows.csv:Standard Equipment 1:35:3c1e0dc120,staging_variant_matrix_rows.csv,Standard Equipment 1,35,stingray_3lt_c67,variant_matrix_row,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center",S,,,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center"
staging_variant_matrix_rows.csv:Standard Equipment 1:35:753f68e0ad,staging_variant_matrix_rows.csv,Standard Equipment 1,35,stingray_2lt_c67,variant_matrix_row,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center",S,,,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center"
staging_variant_matrix_rows.csv:Standard Equipment 1:35:a5905b6e3d,staging_variant_matrix_rows.csv,Standard Equipment 1,35,stingray_1lt_c67,variant_matrix_row,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center",S,,,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center"
staging_variant_matrix_rows.csv:Standard Equipment 1:35:f3c0d21c52,staging_variant_matrix_rows.csv,Standard Equipment 1,35,stingray_2lt_c07,variant_matrix_row,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center",S,,,"Steering wheel controls, audio, voice recognition, cruise and Driver Information Center"
staging_variant_matrix_rows.csv:Standard Equipment 1:36:02865a7368,staging_variant_matrix_rows.csv,Standard Equipment 1,36,stingray_2lt_c07,variant_matrix_row,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver",S,,TDM,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver"
staging_variant_matrix_rows.csv:Standard Equipment 1:36:20f49cfcc9,staging_variant_matrix_rows.csv,Standard Equipment 1,36,stingray_2lt_c67,variant_matrix_row,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver",S,,TDM,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver"
staging_variant_matrix_rows.csv:Standard Equipment 1:36:3bef1cef1f,staging_variant_matrix_rows.csv,Standard Equipment 1,36,stingray_1lt_c67,variant_matrix_row,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver",S,,TDM,"Teen Driver, a configurable feature that lets you activate customizable vehicle settings associated with a key fob, to help encourage safe driving behavior. It can limit certain available vehicle features, and it prevents certain safety systems from being turned off. An in-vehicle report card gives you information on driving habits and helps you to continue to coach your new driver"
