model_key,variant_id,body_style,trim_level,canonical_status,availability_value,raw_status,count
z06,z06_1lz_h07,coupe,1LZ,available,available,A/D1,31
z06,z06_1lz_h07,coupe,1LZ,available,available,A1,56
z06,z06_1lz_h07,coupe,1LZ,not_available,not_available,--,50
z06,z06_1lz_h07,coupe,1LZ,standard,standard,S,128
z06,z06_1lz_h07,coupe,1LZ,standard,standard,S1,14
z06,z06_1lz_h67,convertible,1LZ,available,available,A,28
z06,z06_1lz_h67,convertible,1LZ,available,available,A/D,18
z06,z06_1lz_h67,convertible,1LZ,available,available,A/D1,28
z06,z06_1lz_h67,convertible,1LZ,available,available,A1,53
z06,z06_1lz_h67,convertible,1LZ,available,available,A2,3
z06,z06_1lz_h67,convertible,1LZ,not_available,not_available,--,58
z06,z06_1lz_h67,convertible,1LZ,standard,standard,S,128
z06,z06_1lz_h67,convertible,1LZ,standard,standard,S1,12
z06,z06_1lz_h67,convertible,1LZ,standard,standard,S2,2
z06,z06_2lz_h07,coupe,2LZ,available,available,A,32
z06,z06_2lz_h07,coupe,2LZ,available,available,A/D,20
z06,z06_2lz_h07,coupe,2LZ,available,available,A/D1,31
z06,z06_2lz_h07,coupe,2LZ,available,available,A1,60
z06,z06_2lz_h07,coupe,2LZ,available,available,A2,2
z06,z06_2lz_h07,coupe,2LZ,included_equipment_group,needs_review,■,20
z06,z06_2lz_h07,coupe,2LZ,not_available,not_available,--,31
z06,z06_2lz_h07,coupe,2LZ,standard,standard,S,120
z06,z06_2lz_h07,coupe,2LZ,standard,standard,S1,14
z06,z06_2lz_h67,convertible,2LZ,available,available,A,30
z06,z06_2lz_h67,convertible,2LZ,available,available,A/D,17
z06,z06_2lz_h67,convertible,2LZ,available,available,A/D1,28
z06,z06_2lz_h67,convertible,2LZ,available,available,A1,56
z06,z06_2lz_h67,convertible,2LZ,available,available,A2,5
z06,z06_2lz_h67,convertible,2LZ,included_equipment_group,needs_review,■,20
z06,z06_2lz_h67,convertible,2LZ,not_available,not_available,--,40
z06,z06_2lz_h67,convertible,2LZ,standard,standard,S,120
z06,z06_2lz_h67,convertible,2LZ,standard,standard,S1,12
z06,z06_2lz_h67,convertible,2LZ,standard,standard,S2,2
z06,z06_3lz_h07,coupe,3LZ,available,available,A,32
z06,z06_3lz_h07,coupe,3LZ,available,available,A/D,21
z06,z06_3lz_h07,coupe,3LZ,available,available,A/D1,34
z06,z06_3lz_h07,coupe,3LZ,available,available,A1,58
z06,z06_3lz_h07,coupe,3LZ,available,available,A2,7
z06,z06_3lz_h07,coupe,3LZ,available,available,A3,1
z06,z06_3lz_h07,coupe,3LZ,included_equipment_group,needs_review,■,22
z06,z06_3lz_h07,coupe,3LZ,included_equipment_group,needs_review,■1,1
z06,z06_3lz_h07,coupe,3LZ,not_available,not_available,--,22
z06,z06_3lz_h07,coupe,3LZ,standard,standard,S,116
z06,z06_3lz_h07,coupe,3LZ,standard,standard,S1,16
z06,z06_3lz_h67,convertible,3LZ,available,available,A,30
z06,z06_3lz_h67,convertible,3LZ,available,available,A/D,18
z06,z06_3lz_h67,convertible,3LZ,available,available,A/D1,31
z06,z06_3lz_h67,convertible,3LZ,available,available,A1,54
z06,z06_3lz_h67,convertible,3LZ,available,available,A2,10
z06,z06_3lz_h67,convertible,3LZ,available,available,A3,1
z06,z06_3lz_h67,convertible,3LZ,included_equipment_group,needs_review,■,22
z06,z06_3lz_h67,convertible,3LZ,included_equipment_group,needs_review,■1,1
z06,z06_3lz_h67,convertible,3LZ,not_available,not_available,--,31
z06,z06_3lz_h67,convertible,3LZ,standard,standard,S,116
z06,z06_3lz_h67,convertible,3LZ,standard,standard,S1,14
z06,z06_3lz_h67,convertible,3LZ,standard,standard,S2,2
zr1,zr1_1lz_r07,coupe,1LZ,available,available,A,25
zr1,zr1_1lz_r07,coupe,1LZ,available,available,A/D,18
zr1,zr1_1lz_r07,coupe,1LZ,available,available,A/D1,20
zr1,zr1_1lz_r07,coupe,1LZ,available,available,A1,37
zr1,zr1_1lz_r07,coupe,1LZ,not_available,not_available,--,50
zr1,zr1_1lz_r07,coupe,1LZ,standard,standard,S,140
zr1,zr1_1lz_r07,coupe,1LZ,standard,standard,S1,14
zr1,zr1_1lz_r67,convertible,1LZ,available,available,A,24
zr1,zr1_1lz_r67,convertible,1LZ,available,available,A/D,15
zr1,zr1_1lz_r67,convertible,1LZ,available,available,A/D1,19
zr1,zr1_1lz_r67,convertible,1LZ,available,available,A1,37
zr1,zr1_1lz_r67,convertible,1LZ,not_available,not_available,--,57
zr1,zr1_1lz_r67,convertible,1LZ,standard,standard,S,136
zr1,zr1_1lz_r67,convertible,1LZ,standard,standard,S1,16
zr1,zr1_3lz_r07,coupe,3LZ,available,available,A,26
zr1,zr1_3lz_r07,coupe,3LZ,available,available,A/D,17
zr1,zr1_3lz_r07,coupe,3LZ,available,available,A/D1,21
zr1,zr1_3lz_r07,coupe,3LZ,available,available,A1,42
zr1,zr1_3lz_r07,coupe,3LZ,available,available,A2,4
zr1,zr1_3lz_r07,coupe,3LZ,included_equipment_group,needs_review,■,20
zr1,zr1_3lz_r07,coupe,3LZ,included_equipment_group,needs_review,■1,1
zr1,zr1_3lz_r07,coupe,3LZ,not_available,not_available,--,29
zr1,zr1_3lz_r07,coupe,3LZ,standard,standard,S,128
zr1,zr1_3lz_r07,coupe,3LZ,standard,standard,S1,16
zr1,zr1_3lz_r67,convertible,3LZ,available,available,A,25
zr1,zr1_3lz_r67,convertible,3LZ,available,available,A/D,14
zr1,zr1_3lz_r67,convertible,3LZ,available,available,A/D1,20
zr1,zr1_3lz_r67,convertible,3LZ,available,available,A1,42
zr1,zr1_3lz_r67,convertible,3LZ,available,available,A2,4
zr1,zr1_3lz_r67,convertible,3LZ,included_equipment_group,needs_review,■,20
zr1,zr1_3lz_r67,convertible,3LZ,included_equipment_group,needs_review,■1,1
zr1,zr1_3lz_r67,convertible,3LZ,not_available,not_available,--,36
zr1,zr1_3lz_r67,convertible,3LZ,standard,standard,S,124
zr1,zr1_3lz_r67,convertible,3LZ,standard,standard,S1,18
zr1x,zr1x_1lz_s07,coupe,1LZ,available,available,A,24
zr1x,zr1x_1lz_s07,coupe,1LZ,available,available,A/D,18
zr1x,zr1x_1lz_s07,coupe,1LZ,available,available,A/D1,17
zr1x,zr1x_1lz_s07,coupe,1LZ,available,available,A/D2,2
zr1x,zr1x_1lz_s07,coupe,1LZ,available,available,A1,36
zr1x,zr1x_1lz_s07,coupe,1LZ,available,available,A2,1
zr1x,zr1x_1lz_s07,coupe,1LZ,not_available,not_available,--,50
zr1x,zr1x_1lz_s07,coupe,1LZ,standard,standard,S,142
zr1x,zr1x_1lz_s07,coupe,1LZ,standard,standard,S1,14
zr1x,zr1x_1lz_s67,convertible,1LZ,available,available,A,23
zr1x,zr1x_1lz_s67,convertible,1LZ,available,available,A/D,15
zr1x,zr1x_1lz_s67,convertible,1LZ,available,available,A/D1,16
zr1x,zr1x_1lz_s67,convertible,1LZ,available,available,A/D2,2
zr1x,zr1x_1lz_s67,convertible,1LZ,available,available,A1,36
zr1x,zr1x_1lz_s67,convertible,1LZ,available,available,A2,1
zr1x,zr1x_1lz_s67,convertible,1LZ,not_available,not_available,--,57
zr1x,zr1x_1lz_s67,convertible,1LZ,standard,standard,S,138
zr1x,zr1x_1lz_s67,convertible,1LZ,standard,standard,S1,16
zr1x,zr1x_3lz_s07,coupe,3LZ,available,available,A,25
zr1x,zr1x_3lz_s07,coupe,3LZ,available,available,A/D,17
zr1x,zr1x_3lz_s07,coupe,3LZ,available,available,A/D1,18
zr1x,zr1x_3lz_s07,coupe,3LZ,available,available,A/D2,2
zr1x,zr1x_3lz_s07,coupe,3LZ,available,available,A1,41
zr1x,zr1x_3lz_s07,coupe,3LZ,available,available,A2,5
zr1x,zr1x_3lz_s07,coupe,3LZ,included_equipment_group,needs_review,■,20
zr1x,zr1x_3lz_s07,coupe,3LZ,included_equipment_group,needs_review,■1,1
zr1x,zr1x_3lz_s07,coupe,3LZ,not_available,not_available,--,29
zr1x,zr1x_3lz_s07,coupe,3LZ,standard,standard,S,130
zr1x,zr1x_3lz_s07,coupe,3LZ,standard,standard,S1,16
zr1x,zr1x_3lz_s67,convertible,3LZ,available,available,A,24
zr1x,zr1x_3lz_s67,convertible,3LZ,available,available,A/D,14
zr1x,zr1x_3lz_s67,convertible,3LZ,available,available,A/D1,17
zr1x,zr1x_3lz_s67,convertible,3LZ,available,available,A/D2,2
zr1x,zr1x_3lz_s67,convertible,3LZ,available,available,A1,41
zr1x,zr1x_3lz_s67,convertible,3LZ,available,available,A2,5
zr1x,zr1x_3lz_s67,convertible,3LZ,included_equipment_group,needs_review,■,20
zr1x,zr1x_3lz_s67,convertible,3LZ,included_equipment_group,needs_review,■1,1
zr1x,zr1x_3lz_s67,convertible,3LZ,not_available,not_available,--,36
zr1x,zr1x_3lz_s67,convertible,3LZ,standard,standard,S,126
zr1x,zr1x_3lz_s67,convertible,3LZ,standard,standard,S1,18
