source_sheet,source_row,raw_values,reason
Mechanical 3,2,"["""","""",""S = Standard Equipment  A = Available  -- (dashes) = Not Available  D = ADI Available  ■ = Included in Equipment Group  □ = Included in Equipment Group but upgradeable  * = Indicates availability of feature on multiple models."","""","""","""","""","""",""""]",header_or_legend_row
Mechanical 3,3,"[""Orderable RPO Code"",""Ref. Only RPO Code"",""Description"",""Z06 Coupe\n1YH07\n1LZ"",""Z06 Coupe\n1YH07\n2LZ"",""Z06 Coupe\n1YH07\n3LZ"",""Z06 Convertible\n1YH67\n1LZ"",""Z06 Convertible\n1YH67\n2LZ"",""Z06 Convertible\n1YH67\n3LZ""]",header_or_legend_row
Mechanical 4,1,"[""ZR1 and ZR1X"","""","""","""","""","""","""","""","""","""",""""]",header_or_legend_row
Mechanical 4,2,"["""","""",""S = Standard Equipment  A = Available  -- (dashes) = Not Available  D = ADI Available  ■ = Included in Equipment Group  □ = Included in Equipment Group but upgradeable  * = Indicates availability of feature on multiple models."","""","""","""","""","""","""","""",""""]",header_or_legend_row
Mechanical 4,3,"[""Orderable RPO Code"",""Ref. Only RPO Code"",""Description"",""ZR1 Coupe\n1YR07\n1LZ"",""ZR1 Coupe\n1YR07\n3LZ"",""ZR1 Convertible\n1YR67\n1LZ"",""ZR1 Convertible\n1YR67\n3LZ"",""ZR1X Coupe\n1YS07\n1LZ"",""ZR1X Coupe\n1YS07\n3LZ"",""ZR1X Convertible\n1YS67\n1LZ"",""ZR1X Convertible\n1YS67\n3LZ""]",header_or_legend_row
Color and Trim 1,1,"[""Recommended"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]",color_trim_header_or_legend_row
Color and Trim 1,3,"["""","""","""","""",""Interior Colors"","""","""","""","""","""","""","""","""","""","""","""",""""]",color_trim_header_or_legend_row
Color and Trim 1,4,"[""Decor Level"",""Seat Type"",""Seat Code"",""Seat Trim"",""Jet Black"",""Sky Cool Gray1"",""Adrenaline Red2"",""Adrenaline Red Dipped3"",""Natural2"",""Natural Dipped4"",""Santorini Blue"",""Habanero"",""Very Dark Atmosphere"",""Ultimate Suede Jet Black"",""Asymmetrical Adrenaline Red / Jet Black"",""Asymmetrical Santorini Blue / Jet Black"",""Santorini Blue Dipped with Torch Red accents""]",color_trim_header_or_legend_row
Color and Trim 1,14,"["""","""","""","""",""Interior Colors"","""","""","""","""","""","""","""","""","""","""","""",""""]",color_trim_header_or_legend_row
Color and Trim 1,26,"["""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""""]",blank_row
Color and Trim 2,3,"["""","""","""","""",""Interior Colors"","""","""",""""]",color_trim_header_or_legend_row
Color and Trim 2,4,"[""Decor Level"",""Seat Type"",""Seat Code"",""Seat Trim"",""Sky Cool Gray interior / Jet Black seats"",""Jet Black interior / Sky Cool Gray seats"",""Adrenaline Red interior / Jet Black seats"",""Jet Black interior / Adrenaline Red seats""]",color_trim_header_or_legend_row
Color and Trim 2,9,"["""","""","""","""",""Interior Colors"","""","""",""""]",color_trim_header_or_legend_row
Color and Trim 2,21,"["""","""","""","""","""","""","""",""""]",blank_row
