source_sheet,source_row,model_key,scope_type,exterior_color_rpo,exterior_color_name,interior_code,interior_label,seat_code,trim_level,raw_status,status_symbol,footnote_refs,canonical_status,source_detail_raw
Color and Trim 1,7,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,7,corvette,model_global,,,,Mulan leather seating surfaces with perforated inserts,AQ9,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT1 buckets"",""AQ9"",""Mulan leather seating surfaces with perforated inserts"",""H1Y"",""HUN"",""HUR"",""--"",""HUV"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,model_global,,,HTM,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",HTM,H,TM,unknown,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,model_global,,,HUK,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",HUK,H,UK,unknown,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,model_global,,,HUL,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",HUL,H,UL,unknown,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,model_global,,,,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,model_global,,,HTN,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",HTN,H,TN,unknown,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,model_global,,,,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,model_global,,,,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,model_global,,,,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,model_global,,,,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
Color and Trim 1,8,corvette,model_global,,,,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"2LT, 2LZ",--,--,,not_available,"[""2LT, 2LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""HTM"",""HUK"",""HUL"",""--"",""HTN"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--""]"
