source_ref_id,source_file,source_sheet,source_row,source_column_or_cell_range,source_field,raw_value,raw_status,orderable_rpo,ref_rpo,source_detail_raw
staging_variant_matrix_rows.csv:Exterior 1:12:b5638e354b,staging_variant_matrix_rows.csv,Exterior 1,12,stingray_1lt_c07,variant_matrix_row,"Customer VIN ending reservation
1. This option is subject to restrictions and approval. NOT AVAILABLE on all VINs. Available on SOLD orders only.",A1,PIN,,"Customer VIN ending reservation
1. This option is subject to restrictions and approval. NOT AVAILABLE on all VINs. Available on SOLD orders only."
staging_variant_matrix_rows.csv:Exterior 1:12:d281490164,staging_variant_matrix_rows.csv,Exterior 1,12,stingray_2lt_c67,variant_matrix_row,"Customer VIN ending reservation
1. This option is subject to restrictions and approval. NOT AVAILABLE on all VINs. Available on SOLD orders only.",A1,PIN,,"Customer VIN ending reservation
1. This option is subject to restrictions and approval. NOT AVAILABLE on all VINs. Available on SOLD orders only."
staging_variant_matrix_rows.csv:Exterior 1:15:5ffc318945,staging_variant_matrix_rows.csv,Exterior 1,15,stingray_2lt_c67,variant_matrix_row,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille.",A2,EFY,,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille."
staging_variant_matrix_rows.csv:Exterior 1:15:6290cb6b35,staging_variant_matrix_rows.csv,Exterior 1,15,stingray_1lt_c07,variant_matrix_row,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille.",A1,EFY,,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille."
staging_variant_matrix_rows.csv:Exterior 1:15:a6fd7dc20a,staging_variant_matrix_rows.csv,Exterior 1,15,stingray_3lt_c07,variant_matrix_row,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille.",A1,EFY,,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille."
staging_variant_matrix_rows.csv:Exterior 1:15:a9d5e0df06,staging_variant_matrix_rows.csv,Exterior 1,15,stingray_1lt_c67,variant_matrix_row,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille.",A2,EFY,,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille."
staging_variant_matrix_rows.csv:Exterior 1:15:d237e320a0,staging_variant_matrix_rows.csv,Exterior 1,15,stingray_2lt_c07,variant_matrix_row,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille.",A1,EFY,,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille."
staging_variant_matrix_rows.csv:Exterior 1:15:fce1767f69,staging_variant_matrix_rows.csv,Exterior 1,15,stingray_3lt_c67,variant_matrix_row,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille.",A2,EFY,,"Exterior accents, body-color, side vents and front/rear grille accents
1. Not available with exterior color (GBA) Black.
2. Not available with exterior color (GBA) Black. Also includes tonneau grille."
staging_variant_matrix_rows.csv:Exterior 1:16:13a73e7844,staging_variant_matrix_rows.csv,Exterior 1,16,stingray_3lt_c07,variant_matrix_row,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Tonneau grille is Carbon Flash-painted.",A,EDU,,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Tonneau grille is Carbon Flash-painted."
staging_variant_matrix_rows.csv:Exterior 1:16:a489c1c90c,staging_variant_matrix_rows.csv,Exterior 1,16,stingray_2lt_c67,variant_matrix_row,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Tonneau grille is Carbon Flash-painted.",A1,EDU,,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Tonneau grille is Carbon Flash-painted."
staging_variant_matrix_rows.csv:Exterior 1:16:a7de62fea5,staging_variant_matrix_rows.csv,Exterior 1,16,stingray_1lt_c67,variant_matrix_row,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Tonneau grille is Carbon Flash-painted.",A1,EDU,,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Tonneau grille is Carbon Flash-painted."
staging_variant_matrix_rows.csv:Exterior 1:16:b77e58037f,staging_variant_matrix_rows.csv,Exterior 1,16,stingray_3lt_c67,variant_matrix_row,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Tonneau grille is Carbon Flash-painted.",A1,EDU,,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Tonneau grille is Carbon Flash-painted."
staging_variant_matrix_rows.csv:Exterior 1:16:be36a80c67,staging_variant_matrix_rows.csv,Exterior 1,16,stingray_2lt_c07,variant_matrix_row,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Tonneau grille is Carbon Flash-painted.",A,EDU,,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Tonneau grille is Carbon Flash-painted."
staging_variant_matrix_rows.csv:Exterior 1:16:eda5606a8b,staging_variant_matrix_rows.csv,Exterior 1,16,stingray_1lt_c07,variant_matrix_row,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Tonneau grille is Carbon Flash-painted.",A,EDU,,"Exterior accents, Carbon Flash and body-color; body-color side vents and front splitter, Carbon Flash-painted rockers and front/rear grille accents
1. Tonneau grille is Carbon Flash-painted."
