source_sheet,source_row,source_cell_range,guide_family,model_key,model_key_confidence,scope_type,trim_level,seat_type,seat_code,seat_trim_raw,seat_trim,interior_color_name,interior_rpo_raw,interior_rpo,footnote_refs,footnote_scope,confidence,source_detail_raw
Color and Trim 1,11,L11,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts7,Napa leather seating surfaces with perforated sueded microfiber inserts,Habanero,HUX,HUX,7,seat_trim,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,M11,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts7,Napa leather seating surfaces with perforated sueded microfiber inserts,Very Dark Atmosphere,EPX,EPX,7,seat_trim,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,11,N11,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts7,Napa leather seating surfaces with perforated sueded microfiber inserts,Ultimate Suede Jet Black,HUB,HUB,7,seat_trim,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts7"",""HTT"",""HU9"",""HUA6"",""--"",""HTG"",""HUF"",""--"",""HUX"",""EPX"",""HUB"",""--"",""--"",""--""]"
Color and Trim 1,12,O12,corvette,,needs_review,model_global,"3LT, 3LZ",Driver Competition and Passenger GT2 buckets,AUP,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Asymmetrical Adrenaline Red / Jet Black,HVZ,HVZ,,,high,"[""3LT, 3LZ"",""Driver Competition and Passenger GT2 buckets"",""AUP"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,12,P12,corvette,,needs_review,model_global,"3LT, 3LZ",Driver Competition and Passenger GT2 buckets,AUP,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Asymmetrical Santorini Blue / Jet Black,HAG,HAG,,,high,"[""3LT, 3LZ"",""Driver Competition and Passenger GT2 buckets"",""AUP"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,13,Q13,corvette,,needs_review,model_global,3LT,GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Santorini Blue Dipped with Torch Red accents,EL98,EL9,8,interior_rpo,medium,"[""3LT"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""EL98""]"
Color and Trim 1,14,E14,corvette,,needs_review,model_global,,,,,,Jet Black,Interior Colors,Interior Colors,,,high,"["""","""","""","""",""Interior Colors"","""","""","""","""","""","""","""","""","""","""","""",""""]"
Color and Trim 2,5,E5,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 buckets,AH2,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Sky Cool Gray interior / Jet Black seats,HZB,HZB,,,high,"[""3LT, 3LZ"",""GT2 buckets"",""AH2"",""Napa leather seating surfaces with perforated inserts"",""HZB"",""HVV"",""--"",""--""]"
Color and Trim 2,5,F5,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 buckets,AH2,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Jet Black interior / Sky Cool Gray seats,HVV,HVV,,,high,"[""3LT, 3LZ"",""GT2 buckets"",""AH2"",""Napa leather seating surfaces with perforated inserts"",""HZB"",""HVV"",""--"",""--""]"
Color and Trim 2,6,G6,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Adrenaline Red interior / Jet Black seats,HUU,HUU,,,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""HUU"",""HU01""]"
Color and Trim 2,6,H6,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated inserts,Napa leather seating surfaces with perforated inserts,Jet Black interior / Adrenaline Red seats,HU01,HU0,1,interior_rpo,medium,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""HUU"",""HU01""]"
Color and Trim 2,7,E7,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 buckets,AH2,Napa leather seating surfaces with perforated sueded microfiber inserts2,Napa leather seating surfaces with perforated sueded microfiber inserts,Sky Cool Gray interior / Jet Black seats,HVT,HVT,2,seat_trim,high,"[""3LT, 3LZ"",""GT2 buckets"",""AH2"",""Napa leather seating surfaces with perforated sueded microfiber inserts2"",""HVT"",""HMO"",""--"",""--""]"
Color and Trim 2,7,F7,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 buckets,AH2,Napa leather seating surfaces with perforated sueded microfiber inserts2,Napa leather seating surfaces with perforated sueded microfiber inserts,Jet Black interior / Sky Cool Gray seats,HMO,HMO,2,seat_trim,high,"[""3LT, 3LZ"",""GT2 buckets"",""AH2"",""Napa leather seating surfaces with perforated sueded microfiber inserts2"",""HVT"",""HMO"",""--"",""--""]"
Color and Trim 2,8,G8,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts2,Napa leather seating surfaces with perforated sueded microfiber inserts,Adrenaline Red interior / Jet Black seats,HZP,HZP,2,seat_trim,high,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts2"",""--"",""--"",""HZP"",""HXO3""]"
Color and Trim 2,8,H8,corvette,,needs_review,model_global,"3LT, 3LZ",GT2 / Competition buckets,AH2 / AE4,Napa leather seating surfaces with perforated sueded microfiber inserts2,Napa leather seating surfaces with perforated sueded microfiber inserts,Jet Black interior / Adrenaline Red seats,HXO3,HXO,2|3,seat_trim|interior_rpo,medium,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts2"",""--"",""--"",""HZP"",""HXO3""]"
Color and Trim 2,9,E9,corvette,,needs_review,model_global,,,,,,Sky Cool Gray interior / Jet Black seats,Interior Colors,Interior Colors,,,high,"["""","""","""","""",""Interior Colors"","""","""",""""]"
