staging_file,source_sheet,model_key,section_family,rpo_kind,rpo,count
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,VQK,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,VTB,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,VUP,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,VWD,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,VWE,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,VYW,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,W2D,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,WKQ,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,WKR,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,WUB,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,YF5,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,Z51,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,ZF1,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,ZYC,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_orderable,ZZ3,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_ref_only,AHE,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_ref_only,AHH,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_ref_only,AL9,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_ref_only,AP9,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_ref_only,AQA,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_ref_only,AT9,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_ref_only,DYX,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_ref_only,IWE,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_ref_only,K7B,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_ref_only,KI3,1
equipment_group_rows,Equipment Groups 1,stingray,,equipment_group_ref_only,KQV,1
