source_sheet,source_row,source_cell_range,guide_family,model_key,model_key_confidence,scope_type,exterior_color_name_raw,exterior_color_name,exterior_color_rpo_raw,exterior_color_rpo,touch_up_paint_code,interior_rpo_raw,interior_rpo,interior_footnote_refs,interior_footnote_scope,raw_status,status_symbol,footnote_refs,canonical_status,confidence,source_detail_raw
Color and Trim 1,19,L19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Habanero
en-us",Habanero,,,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,19,M19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Very Dark Atmosphere
en-us",Very Dark Atmosphere,,,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,19,N19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Ultimate Suede Jet Black
en-us",Ultimate Suede Jet Black,,,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,19,O19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Asymmetrical Adrenaline Red / Jet Black
en-us",Asymmetrical Adrenaline Red / Jet Black,,,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,19,P19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Asymmetrical Santorini Blue / Jet Black
en-us",Asymmetrical Santorini Blue / Jet Black,,,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,19,Q19,corvette,,needs_review,model_global,Black,Black,GBA,GBA,WA-8555,"Santorini Blue Dipped with Torch Red accents
en-us",Santorini Blue Dipped with Torch Red accents,,,A,A,,available,high,"[""Black"","""",""GBA"",""WA-8555"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A"",""A""]"
Color and Trim 1,20,E20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Jet Black
en-us",Jet Black,,,A,A,,available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,20,F20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Sky Cool Gray1
en-us",Sky Cool Gray,1,interior_color_header,A,A,,available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,20,G20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Adrenaline Red2
en-us",Adrenaline Red,2,interior_color_header,--,--,,not_available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
Color and Trim 1,20,H20,corvette,,needs_review,model_global,Competition Yellow Tintcoat Metallic9,Competition Yellow Tintcoat Metallic,GBK,GBK,WA-233K,"Adrenaline Red Dipped3
en-us",Adrenaline Red Dipped,3,interior_color_header,--,--,,not_available,high,"[""Competition Yellow Tintcoat Metallic9"","""",""GBK"",""WA-233K"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""A"",""A"",""--"",""--"",""--""]"
