source_sheet,source_row,guide_family,model_key,scope_type,exterior_color_rpo,exterior_color_name,interior_code,interior_label,seat_code,trim_level,raw_status,status_symbol,footnote_refs,canonical_status,source_detail_raw
Color and Trim 1,12,corvette,,model_global,,,HVZ,Napa leather seating surfaces with perforated inserts,AUP,"3LT, 3LZ",,,,,"[""3LT, 3LZ"",""Driver Competition and Passenger GT2 buckets"",""AUP"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,12,corvette,,model_global,,,HAG,Napa leather seating surfaces with perforated inserts,AUP,"3LT, 3LZ",,,,,"[""3LT, 3LZ"",""Driver Competition and Passenger GT2 buckets"",""AUP"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""HVZ"",""HAG"",""--""]"
Color and Trim 1,13,corvette,,model_global,,,EL98,Napa leather seating surfaces with perforated inserts,AH2 / AE4,3LT,,,8,,"[""3LT"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""--"",""EL98""]"
Color and Trim 1,14,corvette,,model_global,,,Interior Colors,,,,,,,,"["""","""","""","""",""Interior Colors"","""","""","""","""","""","""","""","""","""","""","""",""""]"
Color and Trim 2,5,corvette,,model_global,,,HZB,Napa leather seating surfaces with perforated inserts,AH2,"3LT, 3LZ",,,,,"[""3LT, 3LZ"",""GT2 buckets"",""AH2"",""Napa leather seating surfaces with perforated inserts"",""HZB"",""HVV"",""--"",""--""]"
Color and Trim 2,5,corvette,,model_global,,,HVV,Napa leather seating surfaces with perforated inserts,AH2,"3LT, 3LZ",,,,,"[""3LT, 3LZ"",""GT2 buckets"",""AH2"",""Napa leather seating surfaces with perforated inserts"",""HZB"",""HVV"",""--"",""--""]"
Color and Trim 2,6,corvette,,model_global,,,HUU,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""HUU"",""HU01""]"
Color and Trim 2,6,corvette,,model_global,,,HU01,Napa leather seating surfaces with perforated inserts,AH2 / AE4,"3LT, 3LZ",,,1,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated inserts"",""--"",""--"",""HUU"",""HU01""]"
Color and Trim 2,7,corvette,,model_global,,,HVT,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2,"3LT, 3LZ",,,2,,"[""3LT, 3LZ"",""GT2 buckets"",""AH2"",""Napa leather seating surfaces with perforated sueded microfiber inserts2"",""HVT"",""HMO"",""--"",""--""]"
Color and Trim 2,7,corvette,,model_global,,,HMO,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2,"3LT, 3LZ",,,2,,"[""3LT, 3LZ"",""GT2 buckets"",""AH2"",""Napa leather seating surfaces with perforated sueded microfiber inserts2"",""HVT"",""HMO"",""--"",""--""]"
Color and Trim 2,8,corvette,,model_global,,,HZP,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2 / AE4,"3LT, 3LZ",,,2,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts2"",""--"",""--"",""HZP"",""HXO3""]"
Color and Trim 2,8,corvette,,model_global,,,HXO3,Napa leather seating surfaces with perforated sueded microfiber inserts,AH2 / AE4,"3LT, 3LZ",,,2|3,,"[""3LT, 3LZ"",""GT2 / Competition buckets"",""AH2 / AE4"",""Napa leather seating surfaces with perforated sueded microfiber inserts2"",""--"",""--"",""HZP"",""HXO3""]"
Color and Trim 2,9,corvette,,model_global,,,Interior Colors,,,,,,,,"["""","""","""","""",""Interior Colors"","""","""",""""]"
